text,features,materials,style
"With its use of wood, tile, brick and distinctive stained glass, the design stands out. This structure exemplifies the Romanesque architectural style. It is primarily built using wood, tile and brick.",stained glass;domes;balconies,wood;tile;brick,Romanesque
"It is primarily built using tile, mosaic and concrete. With its use of tile, mosaic, concrete and distinctive columns, the design stands out. This structure exemplifies the Renaissance architectural style. The building showcases columns and stained glass.",columns;stained glass,tile;mosaic;concrete,Renaissance
"The building showcases towers, domes, balconies and vaults. This structure exemplifies the Neoclassical architectural style. It is primarily built using stone and marble. With its use of stone, marble and distinctive towers, the design stands out.",towers;domes;balconies;vaults,stone;marble,Neoclassical
"This structure exemplifies the Medieval architectural style. With its use of plaster, stone and distinctive columns, the design stands out.",columns;buttresses;arches,plaster;stone,Medieval
"It is primarily built using plaster and marble. The building showcases columns, vaults, domes and balconies.",columns;vaults;domes;balconies,plaster;marble,Renaissance
"The building showcases stained glass, vaults, towers and arches. This structure exemplifies the Romanesque architectural style. It is primarily built using stone, marble and plaster. With its use of stone, marble, plaster and distinctive stained glass, the design stands out.",stained glass;vaults;towers;arches,stone;marble;plaster,Romanesque
"With its use of concrete, mosaic and distinctive stained glass, the design stands out. The building showcases stained glass, balconies, minarets and buttresses.",stained glass;balconies;minarets;buttresses,concrete;mosaic,Neoclassical
"It is primarily built using brick, wood and mosaic. The building showcases towers, columns, stained glass and arches.",towers;columns;stained glass;arches,brick;wood;mosaic,Byzantine
"The building showcases minarets and domes. This structure exemplifies the Gothic architectural style. It is primarily built using concrete, brick and mosaic. With its use of concrete, brick, mosaic and distinctive minarets, the design stands out.",minarets;domes,concrete;brick;mosaic,Gothic
"It is primarily built using plaster, brick and wood. With its use of plaster, brick, wood and distinctive columns, the design stands out. This structure exemplifies the Byzantine architectural style. The building showcases columns and vaults.",columns;vaults,plaster;brick;wood,Byzantine
"The building showcases arches, domes, towers and stained glass. With its use of mosaic, plaster, brick and distinctive arches, the design stands out. It is primarily built using mosaic, plaster and brick. This structure exemplifies the Romanesque architectural style.",arches;domes;towers;stained glass,mosaic;plaster;brick,Romanesque
"This structure exemplifies the Byzantine architectural style. The building showcases towers and domes. It is primarily built using brick, glass and marble. With its use of brick, glass, marble and distinctive towers, the design stands out.",towers;domes,brick;glass;marble,Byzantine
"This structure exemplifies the Romanesque architectural style. The building showcases domes, columns and arches. With its use of marble, concrete and distinctive domes, the design stands out.",domes;columns;arches,marble;concrete,Romanesque
It is primarily built using plaster and mosaic. This structure exemplifies the Islamic architectural style.,balconies;roofs;vaults,plaster;mosaic,Islamic
"The building showcases stained glass, buttresses and domes. It is primarily built using plaster, marble and stone. This structure exemplifies the Neoclassical architectural style. With its use of plaster, marble, stone and distinctive stained glass, the design stands out.",stained glass;buttresses;domes,plaster;marble;stone,Neoclassical
"The building showcases roofs and buttresses. This structure exemplifies the Byzantine architectural style. With its use of stone, tile and distinctive roofs, the design stands out. It is primarily built using stone and tile.",roofs;buttresses,stone;tile,Byzantine
"It is primarily built using plaster and tile. This structure exemplifies the Gothic architectural style. The building showcases buttresses, stained glass, towers and vaults. With its use of plaster, tile and distinctive buttresses, the design stands out.",buttresses;stained glass;towers;vaults,plaster;tile,Gothic
"The building showcases buttresses, stained glass, towers and minarets. This structure exemplifies the Baroque architectural style.",buttresses;stained glass;towers;minarets,brick;glass,Baroque
"It is primarily built using plaster, brick and concrete. With its use of plaster, brick, concrete and distinctive minarets, the design stands out. The building showcases minarets, balconies and domes. This structure exemplifies the Byzantine architectural style.",minarets;balconies;domes,plaster;brick;concrete,Byzantine
"This structure exemplifies the Byzantine architectural style. It is primarily built using tile and plaster. The building showcases balconies, vaults and buttresses.",balconies;vaults;buttresses,tile;plaster,Byzantine
"The building showcases domes and minarets. With its use of wood, mosaic, plaster and distinctive domes, the design stands out. This structure exemplifies the Gothic architectural style. It is primarily built using wood, mosaic and plaster.",domes;minarets,wood;mosaic;plaster,Gothic
"It is primarily built using mosaic and concrete. The building showcases arches, domes and balconies. This structure exemplifies the Byzantine architectural style. With its use of mosaic, concrete and distinctive arches, the design stands out.",arches;domes;balconies,mosaic;concrete,Byzantine
"With its use of marble, wood and distinctive stained glass, the design stands out. It is primarily built using marble and wood. This structure exemplifies the Medieval architectural style.",stained glass;vaults;arches;domes,marble;wood,Medieval
"This structure exemplifies the Modernist architectural style. It is primarily built using tile and concrete. With its use of tile, concrete and distinctive roofs, the design stands out. The building showcases roofs, vaults and columns.",roofs;vaults;columns,tile;concrete,Modernist
"It is primarily built using wood and brick. The building showcases domes, buttresses, stained glass and towers. With its use of wood, brick and distinctive domes, the design stands out. This structure exemplifies the Neoclassical architectural style.",domes;buttresses;stained glass;towers,wood;brick,Neoclassical
"With its use of marble, concrete and distinctive buttresses, the design stands out. It is primarily built using marble and concrete. This structure exemplifies the Modernist architectural style. The building showcases buttresses, columns and roofs.",buttresses;columns;roofs,marble;concrete,Modernist
"It is primarily built using wood and stone. The building showcases columns, roofs, stained glass and arches. This structure exemplifies the Medieval architectural style. With its use of wood, stone and distinctive columns, the design stands out.",columns;roofs;stained glass;arches,wood;stone,Medieval
"This structure exemplifies the Byzantine architectural style. The building showcases roofs, balconies and domes.",roofs;balconies;domes,brick;plaster;glass,Byzantine
"The building showcases buttresses and minarets. It is primarily built using glass, stone and brick. This structure exemplifies the Byzantine architectural style.",buttresses;minarets,glass;stone;brick,Byzantine
"It is primarily built using plaster, concrete and stone. With its use of plaster, concrete, stone and distinctive domes, the design stands out. This structure exemplifies the Islamic architectural style. The building showcases domes and vaults.",domes;vaults,plaster;concrete;stone,Islamic
"This structure exemplifies the Byzantine architectural style. With its use of mosaic, tile, plaster and distinctive columns, the design stands out. The building showcases columns, balconies and arches.",columns;balconies;arches,mosaic;tile;plaster,Byzantine
"It is primarily built using concrete, glass and stone. With its use of concrete, glass, stone and distinctive columns, the design stands out. This structure exemplifies the Byzantine architectural style.",columns;stained glass,concrete;glass;stone,Byzantine
"It is primarily built using plaster and glass. With its use of plaster, glass and distinctive stained glass, the design stands out. The building showcases stained glass and buttresses. This structure exemplifies the Baroque architectural style.",stained glass;buttresses,plaster;glass,Baroque
"With its use of brick, wood, tile and distinctive domes, the design stands out. It is primarily built using brick, wood and tile.",domes;towers;arches,brick;wood;tile,Medieval
"The building showcases roofs and towers. This structure exemplifies the Islamic architectural style. It is primarily built using mosaic, stone and wood.",roofs;towers,mosaic;stone;wood,Islamic
"It is primarily built using brick, stone and wood. The building showcases roofs, domes, minarets and vaults.",roofs;domes;minarets;vaults,brick;stone;wood,Islamic
"The building showcases towers, arches and minarets. With its use of glass, brick and distinctive towers, the design stands out.",towers;arches;minarets,glass;brick,Islamic
"With its use of tile, stone, brick and distinctive minarets, the design stands out. It is primarily built using tile, stone and brick.",minarets;towers,tile;stone;brick,Medieval
"It is primarily built using plaster, marble and brick. This structure exemplifies the Modernist architectural style. The building showcases buttresses and columns.",buttresses;columns,plaster;marble;brick,Modernist
"It is primarily built using wood, mosaic and concrete. This structure exemplifies the Modernist architectural style.",arches;stained glass;domes;vaults,wood;mosaic;concrete,Modernist
"With its use of glass, mosaic and distinctive balconies, the design stands out. The building showcases balconies, arches, domes and columns. This structure exemplifies the Modernist architectural style. It is primarily built using glass and mosaic.",balconies;arches;domes;columns,glass;mosaic,Modernist
"The building showcases roofs, vaults, buttresses and arches. With its use of tile, mosaic and distinctive roofs, the design stands out. This structure exemplifies the Renaissance architectural style.",roofs;vaults;buttresses;arches,tile;mosaic,Renaissance
The building showcases balconies and vaults. This structure exemplifies the Byzantine architectural style.,balconies;vaults,tile;brick;plaster,Byzantine
It is primarily built using glass and wood. This structure exemplifies the Byzantine architectural style.,buttresses;minarets;vaults,glass;wood,Byzantine
"With its use of brick, wood and distinctive domes, the design stands out. The building showcases domes, roofs, arches and columns. This structure exemplifies the Gothic architectural style.",domes;roofs;arches;columns,brick;wood,Gothic
"This structure exemplifies the Neoclassical architectural style. With its use of tile, marble and distinctive columns, the design stands out. It is primarily built using tile and marble.",columns;balconies;domes;minarets,tile;marble,Neoclassical
"This structure exemplifies the Gothic architectural style. With its use of brick, glass, concrete and distinctive roofs, the design stands out. The building showcases roofs, vaults and columns.",roofs;vaults;columns,brick;glass;concrete,Gothic
"It is primarily built using stone, concrete and mosaic. This structure exemplifies the Gothic architectural style.",domes;buttresses;vaults;balconies,stone;concrete;mosaic,Gothic
"The building showcases arches and columns. With its use of stone, marble, wood and distinctive arches, the design stands out. It is primarily built using stone, marble and wood.",arches;columns,stone;marble;wood,Renaissance
"With its use of mosaic, tile and distinctive arches, the design stands out. It is primarily built using mosaic and tile.",arches;domes;columns;towers,mosaic;tile,Neoclassical
"With its use of glass, concrete, mosaic and distinctive domes, the design stands out. It is primarily built using glass, concrete and mosaic. The building showcases domes and arches.",domes;arches,glass;concrete;mosaic,Gothic
"This structure exemplifies the Modernist architectural style. The building showcases minarets, towers, stained glass and buttresses. It is primarily built using tile and glass. With its use of tile, glass and distinctive minarets, the design stands out.",minarets;towers;stained glass;buttresses,tile;glass,Modernist
This structure exemplifies the Byzantine architectural style. It is primarily built using wood and marble.,roofs;minarets;arches;vaults,wood;marble,Byzantine
This structure exemplifies the Modernist architectural style. It is primarily built using brick and mosaic.,domes;buttresses;balconies;arches,brick;mosaic,Modernist
"With its use of glass, wood and distinctive buttresses, the design stands out. It is primarily built using glass and wood.",buttresses;minarets,glass;wood,Islamic
"This structure exemplifies the Neoclassical architectural style. It is primarily built using marble and concrete. The building showcases domes, stained glass and towers. With its use of marble, concrete and distinctive domes, the design stands out.",domes;stained glass;towers,marble;concrete,Neoclassical
"This structure exemplifies the Medieval architectural style. The building showcases minarets, vaults and roofs. With its use of concrete, glass, stone and distinctive minarets, the design stands out.",minarets;vaults;roofs,concrete;glass;stone,Medieval
"With its use of marble, wood and distinctive buttresses, the design stands out. This structure exemplifies the Islamic architectural style.",buttresses;domes;vaults,marble;wood,Islamic
"The building showcases arches, balconies and minarets. With its use of stone, plaster and distinctive arches, the design stands out. It is primarily built using stone and plaster.",arches;balconies;minarets,stone;plaster,Baroque
"With its use of mosaic, tile, plaster and distinctive balconies, the design stands out. It is primarily built using mosaic, tile and plaster. The building showcases balconies and vaults. This structure exemplifies the Romanesque architectural style.",balconies;vaults,mosaic;tile;plaster,Romanesque
"With its use of marble, plaster and distinctive arches, the design stands out. It is primarily built using marble and plaster. This structure exemplifies the Islamic architectural style. The building showcases arches, towers, balconies and roofs.",arches;towers;balconies;roofs,marble;plaster,Islamic
"It is primarily built using mosaic, wood and concrete. This structure exemplifies the Gothic architectural style. The building showcases roofs, domes, minarets and vaults. With its use of mosaic, wood, concrete and distinctive roofs, the design stands out.",roofs;domes;minarets;vaults,mosaic;wood;concrete,Gothic
"This structure exemplifies the Islamic architectural style. With its use of tile, marble and distinctive arches, the design stands out. It is primarily built using tile and marble. The building showcases arches and buttresses.",arches;buttresses,tile;marble,Islamic
"This structure exemplifies the Baroque architectural style. The building showcases vaults and balconies. With its use of glass, stone, concrete and distinctive vaults, the design stands out. It is primarily built using glass, stone and concrete.",vaults;balconies,glass;stone;concrete,Baroque
"It is primarily built using brick and plaster. With its use of brick, plaster and distinctive roofs, the design stands out. This structure exemplifies the Modernist architectural style.",roofs;vaults;domes,brick;plaster,Modernist
"With its use of concrete, plaster and distinctive roofs, the design stands out. It is primarily built using concrete and plaster. The building showcases roofs and stained glass.",roofs;stained glass,concrete;plaster,Islamic
"It is primarily built using brick, mosaic and concrete. The building showcases domes, towers, vaults and balconies. With its use of brick, mosaic, concrete and distinctive domes, the design stands out. This structure exemplifies the Islamic architectural style.",domes;towers;vaults;balconies,brick;mosaic;concrete,Islamic
"With its use of wood, stone, brick and distinctive arches, the design stands out. This structure exemplifies the Modernist architectural style. The building showcases arches, domes and stained glass. It is primarily built using wood, stone and brick.",arches;domes;stained glass,wood;stone;brick,Modernist
"It is primarily built using mosaic and wood. With its use of mosaic, wood and distinctive balconies, the design stands out. This structure exemplifies the Romanesque architectural style. The building showcases balconies, towers, minarets and roofs.",balconies;towers;minarets;roofs,mosaic;wood,Romanesque
"The building showcases roofs and columns. This structure exemplifies the Modernist architectural style. It is primarily built using plaster and mosaic. With its use of plaster, mosaic and distinctive roofs, the design stands out.",roofs;columns,plaster;mosaic,Modernist
"With its use of brick, glass and distinctive minarets, the design stands out. This structure exemplifies the Islamic architectural style.",minarets;columns;domes,brick;glass,Islamic
This structure exemplifies the Modernist architectural style. It is primarily built using tile and glass.,balconies;roofs;vaults;arches,tile;glass,Modernist
"The building showcases arches and stained glass. This structure exemplifies the Gothic architectural style. With its use of plaster, stone and distinctive arches, the design stands out. It is primarily built using plaster and stone.",arches;stained glass,plaster;stone,Gothic
"With its use of marble, mosaic and distinctive columns, the design stands out. It is primarily built using marble and mosaic. This structure exemplifies the Romanesque architectural style.",columns;minarets,marble;mosaic,Romanesque
"The building showcases balconies and buttresses. With its use of wood, marble, tile and distinctive balconies, the design stands out. This structure exemplifies the Byzantine architectural style. It is primarily built using wood, marble and tile.",balconies;buttresses,wood;marble;tile,Byzantine
"This structure exemplifies the Romanesque architectural style. It is primarily built using tile and brick. With its use of tile, brick and distinctive balconies, the design stands out. The building showcases balconies and roofs.",balconies;roofs,tile;brick,Romanesque
"With its use of marble, stone and distinctive arches, the design stands out. It is primarily built using marble and stone. The building showcases arches, vaults and buttresses.",arches;vaults;buttresses,marble;stone,Byzantine
"This structure exemplifies the Neoclassical architectural style. It is primarily built using mosaic, brick and glass. With its use of mosaic, brick, glass and distinctive balconies, the design stands out.",balconies;arches,mosaic;brick;glass,Neoclassical
"It is primarily built using concrete and marble. With its use of concrete, marble and distinctive balconies, the design stands out. This structure exemplifies the Modernist architectural style.",balconies;buttresses,concrete;marble,Modernist
"It is primarily built using glass and mosaic. The building showcases vaults, domes, arches and buttresses. This structure exemplifies the Medieval architectural style. With its use of glass, mosaic and distinctive vaults, the design stands out.",vaults;domes;arches;buttresses,glass;mosaic,Medieval
"With its use of concrete, tile and distinctive domes, the design stands out. The building showcases domes, buttresses, stained glass and arches.",domes;buttresses;stained glass;arches,concrete;tile,Medieval
"The building showcases balconies and buttresses. With its use of wood, tile, stone and distinctive balconies, the design stands out. This structure exemplifies the Gothic architectural style.",balconies;buttresses,wood;tile;stone,Gothic
"The building showcases vaults, roofs, columns and arches. With its use of brick, glass, marble and distinctive vaults, the design stands out.",vaults;roofs;columns;arches,brick;glass;marble,Romanesque
"This structure exemplifies the Gothic architectural style. The building showcases towers, stained glass, vaults and minarets.",towers;stained glass;vaults;minarets,marble;wood,Gothic
"This structure exemplifies the Gothic architectural style. It is primarily built using wood and mosaic. The building showcases vaults and buttresses. With its use of wood, mosaic and distinctive vaults, the design stands out.",vaults;buttresses,wood;mosaic,Gothic
"With its use of brick, stone and distinctive minarets, the design stands out. This structure exemplifies the Medieval architectural style. It is primarily built using brick and stone. The building showcases minarets and roofs.",minarets;roofs,brick;stone,Medieval
"The building showcases columns and buttresses. It is primarily built using wood and plaster. With its use of wood, plaster and distinctive columns, the design stands out. This structure exemplifies the Baroque architectural style.",columns;buttresses,wood;plaster,Baroque
"This structure exemplifies the Gothic architectural style. The building showcases vaults and buttresses. With its use of mosaic, glass and distinctive vaults, the design stands out. It is primarily built using mosaic and glass.",vaults;buttresses,mosaic;glass,Gothic
"The building showcases towers and balconies. With its use of glass, plaster, brick and distinctive towers, the design stands out.",towers;balconies,glass;plaster;brick,Renaissance
"It is primarily built using tile, brick and plaster. With its use of tile, brick, plaster and distinctive roofs, the design stands out. The building showcases roofs and towers. This structure exemplifies the Romanesque architectural style.",roofs;towers,tile;brick;plaster,Romanesque
"It is primarily built using concrete, marble and glass. This structure exemplifies the Modernist architectural style. The building showcases arches, buttresses, roofs and stained glass.",arches;buttresses;roofs;stained glass,concrete;marble;glass,Modernist
"This structure exemplifies the Modernist architectural style. It is primarily built using marble and stone. With its use of marble, stone and distinctive towers, the design stands out. The building showcases towers and balconies.",towers;balconies,marble;stone,Modernist
"It is primarily built using mosaic and brick. With its use of mosaic, brick and distinctive columns, the design stands out. This structure exemplifies the Modernist architectural style.",columns;arches,mosaic;brick,Modernist
"The building showcases towers and arches. It is primarily built using wood, plaster and stone. With its use of wood, plaster, stone and distinctive towers, the design stands out. This structure exemplifies the Baroque architectural style.",towers;arches,wood;plaster;stone,Baroque
"With its use of marble, wood, concrete and distinctive stained glass, the design stands out. It is primarily built using marble, wood and concrete.",stained glass;vaults;minarets;balconies,marble;wood;concrete,Medieval
"It is primarily built using plaster, concrete and wood. The building showcases buttresses and stained glass. This structure exemplifies the Gothic architectural style. With its use of plaster, concrete, wood and distinctive buttresses, the design stands out.",buttresses;stained glass,plaster;concrete;wood,Gothic
"The building showcases vaults and towers. This structure exemplifies the Islamic architectural style. It is primarily built using mosaic, concrete and stone. With its use of mosaic, concrete, stone and distinctive vaults, the design stands out.",vaults;towers,mosaic;concrete;stone,Islamic
"With its use of glass, wood and distinctive roofs, the design stands out. The building showcases roofs and arches.",roofs;arches,glass;wood,Baroque
"This structure exemplifies the Medieval architectural style. The building showcases towers, columns, vaults and minarets. It is primarily built using marble and brick. With its use of marble, brick and distinctive towers, the design stands out.",towers;columns;vaults;minarets,marble;brick,Medieval
"The building showcases towers and roofs. This structure exemplifies the Modernist architectural style. With its use of concrete, brick and distinctive towers, the design stands out.",towers;roofs,concrete;brick,Modernist
"With its use of brick, wood, mosaic and distinctive vaults, the design stands out. It is primarily built using brick, wood and mosaic. The building showcases vaults and minarets. This structure exemplifies the Byzantine architectural style.",vaults;minarets,brick;wood;mosaic,Byzantine
"With its use of concrete, tile, wood and distinctive stained glass, the design stands out. This structure exemplifies the Modernist architectural style.",stained glass;towers,concrete;tile;wood,Modernist
"It is primarily built using mosaic, stone and marble. The building showcases columns, stained glass and domes. This structure exemplifies the Medieval architectural style. With its use of mosaic, stone, marble and distinctive columns, the design stands out.",columns;stained glass;domes,mosaic;stone;marble,Medieval
"This structure exemplifies the Modernist architectural style. With its use of concrete, stone and distinctive towers, the design stands out. The building showcases towers, buttresses, roofs and stained glass. It is primarily built using concrete and stone.",towers;buttresses;roofs;stained glass,concrete;stone,Modernist
"With its use of wood, mosaic, concrete and distinctive roofs, the design stands out. This structure exemplifies the Baroque architectural style.",roofs;columns,wood;mosaic;concrete,Baroque
"It is primarily built using stone and glass. The building showcases towers and minarets. This structure exemplifies the Byzantine architectural style. With its use of stone, glass and distinctive towers, the design stands out.",towers;minarets,stone;glass,Byzantine
"This structure exemplifies the Islamic architectural style. With its use of marble, brick, mosaic and distinctive towers, the design stands out. The building showcases towers, columns, buttresses and arches.",towers;columns;buttresses;arches,marble;brick;mosaic,Islamic
"The building showcases buttresses, columns and arches. It is primarily built using brick and plaster. This structure exemplifies the Romanesque architectural style.",buttresses;columns;arches,brick;plaster,Romanesque
"It is primarily built using brick and mosaic. With its use of brick, mosaic and distinctive domes, the design stands out.",domes;stained glass;towers;minarets,brick;mosaic,Renaissance
"With its use of stone, tile, brick and distinctive vaults, the design stands out. It is primarily built using stone, tile and brick.",vaults;stained glass,stone;tile;brick,Medieval
"It is primarily built using stone and glass. With its use of stone, glass and distinctive columns, the design stands out. This structure exemplifies the Gothic architectural style.",columns;vaults;stained glass,stone;glass,Gothic
"With its use of plaster, stone and distinctive roofs, the design stands out. The building showcases roofs and balconies. It is primarily built using plaster and stone. This structure exemplifies the Neoclassical architectural style.",roofs;balconies,plaster;stone,Neoclassical
"It is primarily built using plaster, wood and brick. With its use of plaster, wood, brick and distinctive stained glass, the design stands out. This structure exemplifies the Baroque architectural style.",stained glass;domes;buttresses;arches,plaster;wood;brick,Baroque
"This structure exemplifies the Neoclassical architectural style. With its use of tile, mosaic and distinctive minarets, the design stands out. The building showcases minarets, arches, buttresses and roofs.",minarets;arches;buttresses;roofs,tile;mosaic,Neoclassical
"With its use of tile, mosaic and distinctive domes, the design stands out. The building showcases domes, stained glass and columns.",domes;stained glass;columns,tile;mosaic,Islamic
"With its use of stone, glass and distinctive arches, the design stands out. The building showcases arches, roofs and columns.",arches;roofs;columns,stone;glass,Modernist
"This structure exemplifies the Neoclassical architectural style. With its use of brick, plaster, glass and distinctive balconies, the design stands out.",balconies;vaults;columns,brick;plaster;glass,Neoclassical
"The building showcases minarets, vaults and stained glass. With its use of marble, concrete and distinctive minarets, the design stands out. This structure exemplifies the Gothic architectural style. It is primarily built using marble and concrete.",minarets;vaults;stained glass,marble;concrete,Gothic
"The building showcases vaults, balconies and roofs. With its use of stone, tile and distinctive vaults, the design stands out.",vaults;balconies;roofs,stone;tile,Renaissance
"This structure exemplifies the Romanesque architectural style. The building showcases minarets, balconies and vaults. It is primarily built using glass, brick and tile.",minarets;balconies;vaults,glass;brick;tile,Romanesque
"With its use of stone, plaster and distinctive balconies, the design stands out. This structure exemplifies the Islamic architectural style.",balconies;minarets;roofs;columns,stone;plaster,Islamic
"With its use of wood, stone, mosaic and distinctive buttresses, the design stands out. It is primarily built using wood, stone and mosaic. This structure exemplifies the Gothic architectural style.",buttresses;towers;roofs;balconies,wood;stone;mosaic,Gothic
"The building showcases roofs, domes and stained glass. It is primarily built using tile, concrete and mosaic. With its use of tile, concrete, mosaic and distinctive roofs, the design stands out. This structure exemplifies the Islamic architectural style.",roofs;domes;stained glass,tile;concrete;mosaic,Islamic
"With its use of mosaic, marble, wood and distinctive arches, the design stands out. This structure exemplifies the Renaissance architectural style. The building showcases arches and columns. It is primarily built using mosaic, marble and wood.",arches;columns,mosaic;marble;wood,Renaissance
"This structure exemplifies the Islamic architectural style. With its use of stone, wood, marble and distinctive balconies, the design stands out. It is primarily built using stone, wood and marble.",balconies;columns;arches,stone;wood;marble,Islamic
"It is primarily built using concrete and marble. With its use of concrete, marble and distinctive buttresses, the design stands out.",buttresses;stained glass;towers,concrete;marble,Baroque
"This structure exemplifies the Medieval architectural style. The building showcases minarets and columns. With its use of concrete, wood and distinctive minarets, the design stands out. It is primarily built using concrete and wood.",minarets;columns,concrete;wood,Medieval
"It is primarily built using mosaic and marble. This structure exemplifies the Medieval architectural style. With its use of mosaic, marble and distinctive buttresses, the design stands out. The building showcases buttresses, domes, minarets and vaults.",buttresses;domes;minarets;vaults,mosaic;marble,Medieval
"With its use of wood, marble, concrete and distinctive vaults, the design stands out. This structure exemplifies the Romanesque architectural style. The building showcases vaults, balconies, minarets and towers.",vaults;balconies;minarets;towers,wood;marble;concrete,Romanesque
"With its use of wood, tile, brick and distinctive columns, the design stands out. It is primarily built using wood, tile and brick. This structure exemplifies the Modernist architectural style.",columns;buttresses;towers;minarets,wood;tile;brick,Modernist
It is primarily built using wood and stone. This structure exemplifies the Gothic architectural style.,minarets;balconies;towers,wood;stone,Gothic
"It is primarily built using marble, wood and plaster. This structure exemplifies the Islamic architectural style.",domes;vaults;buttresses,marble;wood;plaster,Islamic
"With its use of wood, brick, glass and distinctive vaults, the design stands out. It is primarily built using wood, brick and glass. This structure exemplifies the Byzantine architectural style. The building showcases vaults and balconies.",vaults;balconies,wood;brick;glass,Byzantine
"The building showcases vaults, domes and arches. It is primarily built using marble and glass.",vaults;domes;arches,marble;glass,Islamic
"It is primarily built using tile and plaster. The building showcases domes, minarets and towers. With its use of tile, plaster and distinctive domes, the design stands out. This structure exemplifies the Neoclassical architectural style.",domes;minarets;towers,tile;plaster,Neoclassical
"It is primarily built using tile, glass and marble. The building showcases stained glass, balconies and minarets. This structure exemplifies the Medieval architectural style.",stained glass;balconies;minarets,tile;glass;marble,Medieval
"With its use of wood, mosaic and distinctive buttresses, the design stands out. It is primarily built using wood and mosaic.",buttresses;roofs;arches;minarets,wood;mosaic,Romanesque
"The building showcases balconies, buttresses and vaults. This structure exemplifies the Romanesque architectural style. With its use of marble, wood and distinctive balconies, the design stands out.",balconies;buttresses;vaults,marble;wood,Romanesque
The building showcases stained glass and vaults. This structure exemplifies the Romanesque architectural style.,stained glass;vaults,glass;brick;concrete,Romanesque
"This structure exemplifies the Renaissance architectural style. With its use of plaster, stone, concrete and distinctive stained glass, the design stands out. The building showcases stained glass, roofs, vaults and balconies.",stained glass;roofs;vaults;balconies,plaster;stone;concrete,Renaissance
"It is primarily built using brick and stone. With its use of brick, stone and distinctive towers, the design stands out.",towers;roofs;domes,brick;stone,Islamic
"This structure exemplifies the Gothic architectural style. The building showcases minarets, columns, balconies and roofs. It is primarily built using plaster, tile and concrete.",minarets;columns;balconies;roofs,plaster;tile;concrete,Gothic
"This structure exemplifies the Neoclassical architectural style. It is primarily built using concrete, marble and plaster.",roofs;buttresses,concrete;marble;plaster,Neoclassical
"It is primarily built using marble and plaster. The building showcases domes, minarets and vaults.",domes;minarets;vaults,marble;plaster,Byzantine
"With its use of tile, marble and distinctive roofs, the design stands out. It is primarily built using tile and marble.",roofs;buttresses;balconies;columns,tile;marble,Neoclassical
"The building showcases balconies and arches. It is primarily built using tile and mosaic. With its use of tile, mosaic and distinctive balconies, the design stands out.",balconies;arches,tile;mosaic,Modernist
"It is primarily built using tile and stone. This structure exemplifies the Byzantine architectural style. The building showcases columns and minarets. With its use of tile, stone and distinctive columns, the design stands out.",columns;minarets,tile;stone,Byzantine
"It is primarily built using wood, tile and marble. The building showcases columns and minarets.",columns;minarets,wood;tile;marble,Medieval
"With its use of plaster, marble, brick and distinctive minarets, the design stands out. The building showcases minarets and arches. It is primarily built using plaster, marble and brick.",minarets;arches,plaster;marble;brick,Neoclassical
"It is primarily built using mosaic and glass. The building showcases columns and buttresses. This structure exemplifies the Romanesque architectural style. With its use of mosaic, glass and distinctive columns, the design stands out.",columns;buttresses,mosaic;glass,Romanesque
This structure exemplifies the Medieval architectural style. The building showcases balconies and vaults.,balconies;vaults,concrete;stone,Medieval
"It is primarily built using glass and brick. With its use of glass, brick and distinctive vaults, the design stands out. This structure exemplifies the Renaissance architectural style.",vaults;balconies;domes;buttresses,glass;brick,Renaissance
"It is primarily built using mosaic, marble and concrete. This structure exemplifies the Neoclassical architectural style.",columns;balconies;domes,mosaic;marble;concrete,Neoclassical
"The building showcases domes, stained glass, minarets and balconies. It is primarily built using glass and marble. This structure exemplifies the Byzantine architectural style.",domes;stained glass;minarets;balconies,glass;marble,Byzantine
"This structure exemplifies the Baroque architectural style. It is primarily built using stone and concrete. The building showcases towers, stained glass and arches. With its use of stone, concrete and distinctive towers, the design stands out.",towers;stained glass;arches,stone;concrete,Baroque
"It is primarily built using glass, concrete and stone. With its use of glass, concrete, stone and distinctive columns, the design stands out. This structure exemplifies the Renaissance architectural style. The building showcases columns, minarets and towers.",columns;minarets;towers,glass;concrete;stone,Renaissance
"It is primarily built using concrete and glass. This structure exemplifies the Renaissance architectural style. With its use of concrete, glass and distinctive balconies, the design stands out. The building showcases balconies and stained glass.",balconies;stained glass,concrete;glass,Renaissance
"This structure exemplifies the Modernist architectural style. It is primarily built using brick, glass and plaster.",vaults;buttresses;domes;balconies,brick;glass;plaster,Modernist
"This structure exemplifies the Medieval architectural style. With its use of marble, tile, stone and distinctive balconies, the design stands out. The building showcases balconies and roofs.",balconies;roofs,marble;tile;stone,Medieval
"This structure exemplifies the Renaissance architectural style. With its use of stone, glass and distinctive vaults, the design stands out.",vaults;minarets;buttresses;domes,stone;glass,Renaissance
"This structure exemplifies the Medieval architectural style. With its use of concrete, marble, wood and distinctive balconies, the design stands out.",balconies;columns;roofs,concrete;marble;wood,Medieval
"With its use of wood, tile, mosaic and distinctive vaults, the design stands out. The building showcases vaults, arches, balconies and minarets.",vaults;arches;balconies;minarets,wood;tile;mosaic,Neoclassical
"The building showcases buttresses and balconies. With its use of mosaic, stone, plaster and distinctive buttresses, the design stands out.",buttresses;balconies,mosaic;stone;plaster,Modernist
